Series Id,Year,Period,Value
CUUR0200SA0,1984,M02,102.1
CUUR0200SA0,1984,M04,102.8
CUUR0200SA0,1984,M06,103.6
CUUR0200SA0,1984,M08,104.3
CUUR0200SA0,1984,M10,104.9
CUUR0200SA0,1984,M12,104.7
CUUR0200SA0,1984,M13,103.6
CUUS0200SA0,1984,S01,102.6
CUUS0200SA0,1984,S02,104.5
CUUR0200SA0,1985,M02,105.2
CUUR0200SA0,1985,M04,106.2
CUUR0200SA0,1985,M06,107.1
CUUR0200SA0,1985,M08,107.1
CUUR0200SA0,1985,M10,107.5
CUUR0200SA0,1985,M12,108.2
CUUR0200SA0,1985,M13,106.8
CUUS0200SA0,1985,S01,106.0
CUUS0200SA0,1985,S02,107.5
CUUR0200SA0,1986,M02,107.8
CUUR0200SA0,1986,M04,106.9
CUUR0200SA0,1986,M06,108.2
CUUR0200SA0,1986,M08,108.3
CUUR0200SA0,1986,M10,108.5
CUUR0200SA0,1986,M12,108.8
CUUR0200SA0,1986,M13,108.0
CUUS0200SA0,1986,S01,107.6
CUUS0200SA0,1986,S02,108.5
CUUR0200SA0,1987,M01,109.6
CUUR0200SA0,1987,M02,109.7
CUUR0200SA0,1987,M03,110.3
CUUR0200SA0,1987,M04,110.9
CUUR0200SA0,1987,M05,111.1
CUUR0200SA0,1987,M06,112.1
CUUR0200SA0,1987,M07,112.3
CUUR0200SA0,1987,M08,113.1
CUUR0200SA0,1987,M09,113.6
CUUR0200SA0,1987,M10,113.5
CUUR0200SA0,1987,M11,113.5
CUUR0200SA0,1987,M12,113.3
CUUR0200SA0,1987,M13,111.9
CUUS0200SA0,1987,S01,110.6
CUUS0200SA0,1987,S02,113.2
CUUR0200SA0,1988,M01,113.4
CUUR0200SA0,1988,M02,113.7
CUUR0200SA0,1988,M03,114.3
CUUR0200SA0,1988,M04,114.9
CUUR0200SA0,1988,M05,115.5
CUUR0200SA0,1988,M06,116.0
CUUR0200SA0,1988,M07,116.6
CUUR0200SA0,1988,M08,117.2
CUUR0200SA0,1988,M09,117.7
CUUR0200SA0,1988,M10,118.1
CUUR0200SA0,1988,M11,118.1
CUUR0200SA0,1988,M12,118.2
CUUR0200SA0,1988,M13,116.1
CUUS0200SA0,1988,S01,114.6
CUUS0200SA0,1988,S02,117.7
CUUR0200SA0,1989,M01,118.7
CUUR0200SA0,1989,M02,119.3
CUUR0200SA0,1989,M03,119.8
CUUR0200SA0,1989,M04,120.8
CUUR0200SA0,1989,M05,121.3
CUUR0200SA0,1989,M06,121.8
CUUR0200SA0,1989,M07,122.0
CUUR0200SA0,1989,M08,122.0
CUUR0200SA0,1989,M09,122.5
