Series Id,Year,Period,Value
CUUR0200SAD,1984,M02,103.1
CUUR0200SAD,1984,M04,104.8
CUUR0200SAD,1984,M06,105.5
CUUR0200SAD,1984,M08,105.7
CUUR0200SAD,1984,M10,106.1
CUUR0200SAD,1984,M12,106.3
CUUR0200SAD,1984,M13,105.2
CUUS0200SAD,1984,S01,104.3
CUUS0200SAD,1984,S02,106.0
CUUR0200SAD,1985,M02,107.1
CUUR0200SAD,1985,M04,107.4
CUUR0200SAD,1985,M06,106.6
CUUR0200SAD,1985,M08,105.9
CUUR0200SAD,1985,M10,106.6
CUUR0200SAD,1985,M12,106.9
CUUR0200SAD,1985,M13,106.7
CUUS0200SAD,1985,S01,107.0
CUUS0200SAD,1985,S02,106.4
CUUR0200SAD,1986,M02,106.8
CUUR0200SAD,1986,M04,106.5
CUUR0200SAD,1986,M06,106.4
CUUR0200SAD,1986,M08,105.9
CUUR0200SAD,1986,M10,106.4
CUUR0200SAD,1986,M12,107.0
CUUR0200SAD,1986,M13,106.5
CUUS0200SAD,1986,S01,106.6
CUUS0200SAD,1986,S02,106.4
CUUR0200SAD,1987,M01,106.9
CUUR0200SAD,1987,M02,106.6
CUUR0200SAD,1987,M03,106.9
CUUR0200SAD,1987,M04,107.2
CUUR0200SAD,1987,M05,107.3
CUUR0200SAD,1987,M06,107.6
CUUR0200SAD,1987,M07,107.9
CUUR0200SAD,1987,M08,107.7
CUUR0200SAD,1987,M09,108.1
CUUR0200SAD,1987,M10,108.4
CUUR0200SAD,1987,M11,108.9
CUUR0200SAD,1987,M12,109.1
CUUR0200SAD,1987,M13,107.7
CUUS0200SAD,1987,S01,107.1
CUUS0200SAD,1987,S02,108.4
CUUR0200SAD,1988,M01,108.9
CUUR0200SAD,1988,M02,108.6
CUUR0200SAD,1988,M03,108.5
CUUR0200SAD,1988,M04,108.7
CUUR0200SAD,1988,M05,109.0
CUUR0200SAD,1988,M06,109.3
CUUR0200SAD,1988,M07,109.6
CUUR0200SAD,1988,M08,109.9
CUUR0200SAD,1988,M09,109.8
CUUR0200SAD,1988,M10,110.4
CUUR0200SAD,1988,M11,111.2
CUUR0200SAD,1988,M12,111.6
CUUR0200SAD,1988,M13,109.6
CUUS0200SAD,1988,S01,108.8
CUUS0200SAD,1988,S02,110.4
CUUR0200SAD,1989,M01,112.0
CUUR0200SAD,1989,M02,111.9
CUUR0200SAD,1989,M03,111.6
CUUR0200SAD,1989,M04,111.3
CUUR0200SAD,1989,M05,111.4
CUUR0200SAD,1989,M06,111.6
CUUR0200SAD,1989,M07,111.5
CUUR0200SAD,1989,M08,111.0
CUUR0200SAD,1989,M09,110.8
CUUR0200SAD,1989,M10,111.6
CUUR0200SAD,1989,M11,112.8
CUUR0200SAD,1989,M12,113.0
CUUR0200SAD,1989,M13,111.7
CUUS0200SAD,1989,S01,111.6
CUUS0200SAD,1989,S02,111.8
CUUR0200SAD,1990,M01,113.2
CUUR0200SAD,1990,M02,112.8
CUUR0200SAD,1990,M03,112.5
CUUR0200SAD,1990,M04,112.1
CUUR0200SAD,1990,M05,112.2
CUUR0200SAD,1990,M06,111.9
CUUR0200SAD,1990,M07,111.7
CUUR0200SAD,1990,M08,111.8
CUUR0200SAD,1990,M09,112.2
CUUR0200SAD,1990,M10,112.6
CUUR0200SAD,1990,M11,113.0
CUUR0200SAD,1990,M12,113.6
CUUR0200SAD,1990,M13,112.5
CUUS0200SAD,1990,S01,112.5
CUUS0200SAD,1990,S02,112.5
CUUR0200SAD,1991,M01,114.0
CUUR0200SAD,1991,M02,114.4
CUUR0200SAD,1991,M03,114.5
CUUR0200SAD,1991,M04,114.4
CUUR0200SAD,1991,M05,114.9
CUUR0200SAD,1991,M06,115.3
CUUR0200SAD,1991,M07,115.5
CUUR0200SAD,1991,M08,114.9
CUUR0200SAD,1991,M09,114.6
CUUR0200SAD,1991,M10,115.5
CUUR0200SAD,1991,M11,116.3
CUUR0200SAD,1991,M12,116.7
CUUR0200SAD,1991,M13,115.1
CUUS0200SAD,1991,S01,114.6
CUUS0200SAD,1991,S02,115.6
CUUR0200SAD,1992,M01,116.6
