Series Id,Year,Period,Value
CUUR0100SAD,1984,M02,103.1
CUUR0100SAD,1984,M04,104.8
CUUR0100SAD,1984,M06,105.8
CUUR0100SAD,1984,M08,106.0
CUUR0100SAD,1984,M10,106.6
CUUR0100SAD,1984,M12,107.0
CUUR0100SAD,1984,M13,105.4
CUUS0100SAD,1984,S01,104.4
CUUS0100SAD,1984,S02,106.4
CUUR0100SAD,1985,M02,107.4
CUUR0100SAD,1985,M04,107.5
CUUR0100SAD,1985,M06,106.7
CUUR0100SAD,1985,M08,106.0
CUUR0100SAD,1985,M10,107.2
CUUR0100SAD,1985,M12,107.7
CUUR0100SAD,1985,M13,107.1
CUUS0100SAD,1985,S01,107.3
CUUS0100SAD,1985,S02,106.9
CUUR0100SAD,1986,M02,106.8
CUUR0100SAD,1986,M04,106.3
CUUR0100SAD,1986,M06,106.4
CUUR0100SAD,1986,M08,106.4
CUUR0100SAD,1986,M10,107.4
CUUR0100SAD,1986,M12,107.9
CUUR0100SAD,1986,M13,106.9
CUUS0100SAD,1986,S01,106.6
CUUS0100SAD,1986,S02,107.1
CUUR0100SAD,1987,M01,108.3
CUUR0100SAD,1987,M02,107.3
CUUR0100SAD,1987,M03,107.6
CUUR0100SAD,1987,M04,108.5
CUUR0100SAD,1987,M05,108.6
CUUR0100SAD,1987,M06,108.3
CUUR0100SAD,1987,M07,108.0
CUUR0100SAD,1987,M08,107.6
CUUR0100SAD,1987,M09,107.5
CUUR0100SAD,1987,M10,108.0
CUUR0100SAD,1987,M11,108.9
CUUR0100SAD,1987,M12,108.6
CUUR0100SAD,1987,M13,108.1
CUUS0100SAD,1987,S01,108.1
CUUS0100SAD,1987,S02,108.1
CUUR0100SAD,1988,M01,108.8
CUUR0100SAD,1988,M02,108.7
CUUR0100SAD,1988,M03,108.7
CUUR0100SAD,1988,M04,108.9
CUUR0100SAD,1988,M05,109.2
CUUR0100SAD,1988,M06,109.6
CUUR0100SAD,1988,M07,109.5
CUUR0100SAD,1988,M08,109.9
CUUR0100SAD,1988,M09,110.0
CUUR0100SAD,1988,M10,110.7
CUUR0100SAD,1988,M11,111.0
CUUR0100SAD,1988,M12,111.2
CUUR0100SAD,1988,M13,109.7
CUUS0100SAD,1988,S01,109.0
CUUS0100SAD,1988,S02,110.4
CUUR0100SAD,1989,M01,111.7
CUUR0100SAD,1989,M02,111.7
CUUR0100SAD,1989,M03,110.7
CUUR0100SAD,1989,M04,111.0
CUUR0100SAD,1989,M05,110.8
CUUR0100SAD,1989,M06,110.7
CUUR0100SAD,1989,M07,110.1
CUUR0100SAD,1989,M08,109.5
CUUR0100SAD,1989,M09,109.5
CUUR0100SAD,1989,M10,110.6
CUUR0100SAD,1989,M11,111.2
CUUR0100SAD,1989,M12,112.4
CUUR0100SAD,1989,M13,110.8
CUUS0100SAD,1989,S01,111.1
CUUS0100SAD,1989,S02,110.6
CUUR0100SAD,1990,M01,112.4
CUUR0100SAD,1990,M02,112.3
CUUR0100SAD,1990,M03,112.0
CUUR0100SAD,1990,M04,111.8
CUUR0100SAD,1990,M05,111.6
CUUR0100SAD,1990,M06,111.5
CUUR0100SAD,1990,M07,111.7
CUUR0100SAD,1990,M08,111.4
CUUR0100SAD,1990,M09,110.7
CUUR0100SAD,1990,M10,112.1
CUUR0100SAD,1990,M11,112.8
CUUR0100SAD,1990,M12,113.3
CUUR0100SAD,1990,M13,112.0
CUUS0100SAD,1990,S01,111.9
CUUS0100SAD,1990,S02,112.0
CUUR0100SAD,1991,M01,113.6
CUUR0100SAD,1991,M02,114.8
CUUR0100SAD,1991,M03,114.9
CUUR0100SAD,1991,M04,114.4
CUUR0100SAD,1991,M05,115.0
CUUR0100SAD,1991,M06,114.4
CUUR0100SAD,1991,M07,114.9
CUUR0100SAD,1991,M08,114.1
CUUR0100SAD,1991,M09,114.3
CUUR0100SAD,1991,M10,115.0
CUUR0100SAD,1991,M11,116.0
CUUR0100SAD,1991,M12,116.3
CUUR0100SAD,1991,M13,114.8
CUUS0100SAD,1991,S01,114.5
CUUS0100SAD,1991,S02,115.1
CUUR0100SAD,1992,M01,116.2
CUUR0100SAD,1992,M02,116.8
CUUR0100SAD,1992,M03,117.1
CUUR0100SAD,1992,M04,117.7
CUUR0100SAD,1992,M05,118.1
CUUR0100SAD,1992,M06,118.4
CUUR0100SAD,1992,M07,117.9
CUUR0100SAD,1992,M08,117.5
CUUR0100SAD,1992,M09,117.3
CUUR0100SAD,1992,M10,118.0
