Series Id,Year,Period,Value
CUUR0300SA0,1984,M02,102.4
CUUR0300SA0,1984,M04,103.1
CUUR0300SA0,1984,M06,103.6
CUUR0300SA0,1984,M08,104.3
CUUR0300SA0,1984,M10,105.1
CUUR0300SA0,1984,M12,105.3
CUUR0300SA0,1984,M13,103.8
CUUS0300SA0,1984,S01,102.8
CUUS0300SA0,1984,S02,104.7
CUUR0300SA0,1985,M02,105.7
CUUR0300SA0,1985,M04,106.4
CUUR0300SA0,1985,M06,107.1
CUUR0300SA0,1985,M08,107.6
CUUR0300SA0,1985,M10,108.3
CUUR0300SA0,1985,M12,108.7
CUUR0300SA0,1985,M13,107.1
CUUS0300SA0,1985,S01,106.3
CUUS0300SA0,1985,S02,108.1
CUUR0300SA0,1986,M02,108.9
CUUR0300SA0,1986,M04,107.9
CUUR0300SA0,1986,M06,108.7
CUUR0300SA0,1986,M08,108.7
CUUR0300SA0,1986,M10,109.4
CUUR0300SA0,1986,M12,109.7
CUUR0300SA0,1986,M13,108.9
CUUS0300SA0,1986,S01,108.5
CUUS0300SA0,1986,S02,109.2
CUUR0300SA0,1987,M01,110.2
CUUR0300SA0,1987,M02,110.7
CUUR0300SA0,1987,M03,111.1
CUUR0300SA0,1987,M04,111.5
CUUR0300SA0,1987,M05,111.8
CUUR0300SA0,1987,M06,112.2
CUUR0300SA0,1987,M07,112.6
CUUR0300SA0,1987,M08,112.9
CUUR0300SA0,1987,M09,113.5
CUUR0300SA0,1987,M10,113.8
CUUR0300SA0,1987,M11,114.1
CUUR0300SA0,1987,M12,114.0
CUUR0300SA0,1987,M13,112.4
CUUS0300SA0,1987,S01,111.3
CUUS0300SA0,1987,S02,113.5
CUUR0300SA0,1988,M01,114.1
CUUR0300SA0,1988,M02,114.4
CUUR0300SA0,1988,M03,114.8
CUUR0300SA0,1988,M04,115.4
CUUR0300SA0,1988,M05,115.6
CUUR0300SA0,1988,M06,116.1
CUUR0300SA0,1988,M07,116.6
CUUR0300SA0,1988,M08,117.0
CUUR0300SA0,1988,M09,117.7
CUUR0300SA0,1988,M10,118.2
CUUR0300SA0,1988,M11,118.3
CUUR0300SA0,1988,M12,118.5
CUUR0300SA0,1988,M13,116.4
CUUS0300SA0,1988,S01,115.1
CUUS0300SA0,1988,S02,117.7
CUUR0300SA0,1989,M01,118.9
CUUR0300SA0,1989,M02,119.2
CUUR0300SA0,1989,M03,119.8
CUUR0300SA0,1989,M04,120.8
CUUR0300SA0,1989,M05,121.3
CUUR0300SA0,1989,M06,121.7
CUUR0300SA0,1989,M07,122.0
CUUR0300SA0,1989,M08,122.1
CUUR0300SA0,1989,M09,122.5
CUUR0300SA0,1989,M10,123.0
CUUR0300SA0,1989,M11,123.2
CUUR0300SA0,1989,M12,123.4
CUUR0300SA0,1989,M13,121.5
CUUS0300SA0,1989,S01,120.3
CUUS0300SA0,1989,S02,122.7
CUUR0300SA0,1990,M01,124.6
CUUR0300SA0,1990,M02,125.4
CUUR0300SA0,1990,M03,126.0
CUUR0300SA0,1990,M04,126.1
CUUR0300SA0,1990,M05,126.5
CUUR0300SA0,1990,M06,127.3
CUUR0300SA0,1990,M07,127.8
CUUR0300SA0,1990,M08,128.7
CUUR0300SA0,1990,M09,129.7
CUUR0300SA0,1990,M10,130.7
CUUR0300SA0,1990,M11,130.9
CUUR0300SA0,1990,M12,130.9
CUUR0300SA0,1990,M13,127.9
CUUS0300SA0,1990,S01,126.0
CUUS0300SA0,1990,S02,129.8
CUUR0300SA0,1991,M01,131.4
CUUR0300SA0,1991,M02,131.7
CUUR0300SA0,1991,M03,131.9
CUUR0300SA0,1991,M04,132.1
CUUR0300SA0,1991,M05,132.5
CUUR0300SA0,1991,M06,132.8
CUUR0300SA0,1991,M07,133.0
CUUR0300SA0,1991,M08,133.3
CUUR0300SA0,1991,M09,133.8
CUUR0300SA0,1991,M10,134.1
CUUR0300SA0,1991,M11,134.4
CUUR0300SA0,1991,M12,134.3
CUUR0300SA0,1991,M13,132.9
CUUS0300SA0,1991,S01,132.1
CUUS0300SA0,1991,S02,133.8
CUUR0300SA0,1992,M01,134.4
CUUR0300SA0,1992,M02,134.9
CUUR0300SA0,1992,M03,135.5
CUUR0300SA0,1992,M04,135.9
CUUR0300SA0,1992,M05,136.2
CUUR0300SA0,1992,M06,136.7
