Series Id,Year,Period,Value
CUUR0300SAD,1984,M02,103.1
CUUR0300SAD,1984,M04,104.7
CUUR0300SAD,1984,M06,105.9
CUUR0300SAD,1984,M08,105.9
CUUR0300SAD,1984,M10,106.5
CUUR0300SAD,1984,M12,106.8
CUUR0300SAD,1984,M13,105.4
CUUS0300SAD,1984,S01,104.3
CUUS0300SAD,1984,S02,106.3
CUUR0300SAD,1985,M02,107.4
CUUR0300SAD,1985,M04,108.3
CUUR0300SAD,1985,M06,107.4
CUUR0300SAD,1985,M08,106.6
CUUR0300SAD,1985,M10,107.0
CUUR0300SAD,1985,M12,107.9
CUUR0300SAD,1985,M13,107.4
CUUS0300SAD,1985,S01,107.7
CUUS0300SAD,1985,S02,107.1
CUUR0300SAD,1986,M02,107.5
CUUR0300SAD,1986,M04,106.8
CUUR0300SAD,1986,M06,107.3
CUUR0300SAD,1986,M08,106.8
CUUR0300SAD,1986,M10,107.2
CUUR0300SAD,1986,M12,108.1
CUUR0300SAD,1986,M13,107.3
CUUS0300SAD,1986,S01,107.2
CUUS0300SAD,1986,S02,107.4
CUUR0300SAD,1987,M01,108.2
CUUR0300SAD,1987,M02,108.0
CUUR0300SAD,1987,M03,108.0
CUUR0300SAD,1987,M04,108.4
CUUR0300SAD,1987,M05,108.9
CUUR0300SAD,1987,M06,109.5
CUUR0300SAD,1987,M07,109.8
CUUR0300SAD,1987,M08,109.8
CUUR0300SAD,1987,M09,109.7
CUUR0300SAD,1987,M10,110.4
CUUR0300SAD,1987,M11,111.1
CUUR0300SAD,1987,M12,111.1
CUUR0300SAD,1987,M13,109.4
CUUS0300SAD,1987,S01,108.5
CUUS0300SAD,1987,S02,110.3
CUUR0300SAD,1988,M01,111.0
CUUR0300SAD,1988,M02,111.3
CUUR0300SAD,1988,M03,111.5
CUUR0300SAD,1988,M04,111.6
CUUR0300SAD,1988,M05,111.7
CUUR0300SAD,1988,M06,111.9
CUUR0300SAD,1988,M07,112.3
CUUR0300SAD,1988,M08,112.2
CUUR0300SAD,1988,M09,112.4
CUUR0300SAD,1988,M10,112.8
CUUR0300SAD,1988,M11,113.6
CUUR0300SAD,1988,M12,114.0
CUUR0300SAD,1988,M13,112.2
CUUS0300SAD,1988,S01,111.5
CUUS0300SAD,1988,S02,112.9
CUUR0300SAD,1989,M01,114.2
CUUR0300SAD,1989,M02,114.3
CUUR0300SAD,1989,M03,114.1
CUUR0300SAD,1989,M04,113.9
CUUR0300SAD,1989,M05,113.9
CUUR0300SAD,1989,M06,114.0
CUUR0300SAD,1989,M07,113.8
CUUR0300SAD,1989,M08,113.6
CUUR0300SAD,1989,M09,113.7
CUUR0300SAD,1989,M10,114.3
CUUR0300SAD,1989,M11,114.8
CUUR0300SAD,1989,M12,115.1
CUUR0300SAD,1989,M13,114.1
CUUS0300SAD,1989,S01,114.1
CUUS0300SAD,1989,S02,114.2
