Series Id,Year,Period,Value
CUUR0400SA0,1984,M02,101.6
CUUR0400SA0,1984,M04,102.6
CUUR0400SA0,1984,M06,103.6
CUUR0400SA0,1984,M08,104.2
CUUR0400SA0,1984,M10,105.3
CUUR0400SA0,1984,M12,105.3
CUUR0400SA0,1984,M13,103.6
CUUS0400SA0,1984,S01,102.3
CUUS0400SA0,1984,S02,104.8
CUUR0400SA0,1985,M02,106.0
CUUR0400SA0,1985,M04,107.0
CUUR0400SA0,1985,M06,108.0
CUUR0400SA0,1985,M08,108.8
CUUR0400SA0,1985,M10,109.4
CUUR0400SA0,1985,M12,109.6
CUUR0400SA0,1985,M13,108.0
CUUS0400SA0,1985,S01,106.8
CUUS0400SA0,1985,S02,109.1
CUUR0400SA0,1986,M02,109.8
CUUR0400SA0,1986,M04,109.4
CUUR0400SA0,1986,M06,110.6
CUUR0400SA0,1986,M08,110.7
CUUR0400SA0,1986,M10,111.6
CUUR0400SA0,1986,M12,111.1
CUUR0400SA0,1986,M13,110.5
CUUS0400SA0,1986,S01,109.8
CUUS0400SA0,1986,S02,111.1
CUUR0400SA0,1987,M01,111.7
CUUR0400SA0,1987,M02,112.6
CUUR0400SA0,1987,M03,113.0
CUUR0400SA0,1987,M04,113.7
CUUR0400SA0,1987,M05,114.1
CUUR0400SA0,1987,M06,114.2
CUUR0400SA0,1987,M07,114.3
CUUR0400SA0,1987,M08,114.8
CUUR0400SA0,1987,M09,115.5
CUUR0400SA0,1987,M10,115.9
CUUR0400SA0,1987,M11,116.0
CUUR0400SA0,1987,M12,116.2
CUUR0400SA0,1987,M13,114.3
CUUS0400SA0,1987,S01,113.2
CUUS0400SA0,1987,S02,115.5
CUUR0400SA0,1988,M01,116.7
CUUR0400SA0,1988,M02,116.9
CUUR0400SA0,1988,M03,117.5
CUUR0400SA0,1988,M04,117.9
CUUR0400SA0,1988,M05,118.5
CUUR0400SA0,1988,M06,118.7
CUUR0400SA0,1988,M07,119.2
CUUR0400SA0,1988,M08,119.6
CUUR0400SA0,1988,M09,120.2
CUUR0400SA0,1988,M10,120.7
CUUR0400SA0,1988,M11,120.7
CUUR0400SA0,1988,M12,120.9
CUUR0400SA0,1988,M13,119.0
CUUS0400SA0,1988,S01,117.7
CUUS0400SA0,1988,S02,120.2
CUUR0400SA0,1989,M01,121.7
CUUR0400SA0,1989,M02,122.3
CUUR0400SA0,1989,M03,123.1
CUUR0400SA0,1989,M04,123.8
CUUR0400SA0,1989,M05,124.5
CUUR0400SA0,1989,M06,124.6
CUUR0400SA0,1989,M07,125.1
CUUR0400SA0,1989,M08,125.3
CUUR0400SA0,1989,M09,125.6
CUUR0400SA0,1989,M10,126.1
CUUR0400SA0,1989,M11,126.3
CUUR0400SA0,1989,M12,126.8
CUUR0400SA0,1989,M13,124.6
CUUS0400SA0,1989,S01,123.3
CUUS0400SA0,1989,S02,125.9
CUUR0400SA0,1990,M01,127.8
CUUR0400SA0,1990,M02,128.8
CUUR0400SA0,1990,M03,129.6
CUUR0400SA0,1990,M04,129.6
CUUR0400SA0,1990,M05,130.0
CUUR0400SA0,1990,M06,130.8
CUUR0400SA0,1990,M07,131.3
CUUR0400SA0,1990,M08,132.2
CUUR0400SA0,1990,M09,133.5
CUUR0400SA0,1990,M10,134.3
CUUR0400SA0,1990,M11,134.5
CUUR0400SA0,1990,M12,135.0
CUUR0400SA0,1990,M13,131.5
CUUS0400SA0,1990,S01,129.4
CUUS0400SA0,1990,S02,133.5
CUUR0400SA0,1991,M01,136.0
CUUR0400SA0,1991,M02,135.9
CUUR0400SA0,1991,M03,135.8
CUUR0400SA0,1991,M04,136.2
CUUR0400SA0,1991,M05,136.3
CUUR0400SA0,1991,M06,136.8
CUUR0400SA0,1991,M07,137.3
CUUR0400SA0,1991,M08,137.9
CUUR0400SA0,1991,M09,138.6
CUUR0400SA0,1991,M10,138.6
CUUR0400SA0,1991,M11,139.0
CUUR0400SA0,1991,M12,139.0
CUUR0400SA0,1991,M13,137.3
CUUS0400SA0,1991,S01,136.2
CUUS0400SA0,1991,S02,138.4
CUUR0400SA0,1992,M01,139.8
CUUR0400SA0,1992,M02,140.5
CUUR0400SA0,1992,M03,141.1
CUUR0400SA0,1992,M04,141.3
CUUR0400SA0,1992,M05,141.4
CUUR0400SA0,1992,M06,141.6
CUUR0400SA0,1992,M07,141.9
CUUR0400SA0,1992,M08,142.3
CUUR0400SA0,1992,M09,142.9
CUUR0400SA0,1992,M10,143.7
CUUR0400SA0,1992,M11,143.9
CUUR0400SA0,1992,M12,143.9
CUUR0400SA0,1992,M13,142.0
CUUS0400SA0,1992,S01,141.0
CUUS0400SA0,1992,S02,143.1
CUUR0400SA0,1993,M01,144.7
CUUR0400SA0,1993,M02,145.2
CUUR0400SA0,1993,M03,145.2
CUUR0400SA0,1993,M04,145.7
CUUR0400SA0,1993,M05,146.0
CUUR0400SA0,1993,M06,146.0
CUUR0400SA0,1993,M07,146.0
CUUR0400SA0,1993,M08,146.2
CUUR0400SA0,1993,M09,146.6
CUUR0400SA0,1993,M10,147.1
CUUR0400SA0,1993,M11,147.5
CUUR0400SA0,1993,M12,147.8
CUUR0400SA0,1993,M13,146.2
CUUS0400SA0,1993,S01,145.5
CUUS0400SA0,1993,S02,146.9
CUUR0400SA0,1994,M01,148.1
CUUR0400SA0,1994,M02,148.3
CUUR0400SA0,1994,M03,149.0
CUUR0400SA0,1994,M04,148.9
CUUR0400SA0,1994,M05,148.8
CUUR0400SA0,1994,M06,148.9
CUUR0400SA0,1994,M07,149.5
CUUR0400SA0,1994,M08,150.1
CUUR0400SA0,1994,M09,150.6
CUUR0400SA0,1994,M10,151.0
CUUR0400SA0,1994,M11,151.1
CUUR0400SA0,1994,M12,151.2
CUUR0400SA0,1994,M13,149.6
CUUS0400SA0,1994,S01,148.7
CUUS0400SA0,1994,S02,150.6
CUUR0400SA0,1995,M01,152.0
CUUR0400SA0,1995,M02,152.4
CUUR0400SA0,1995,M03,152.8
CUUR0400SA0,1995,M04,153.2
CUUR0400SA0,1995,M05,153.5
CUUR0400SA0,1995,M06,153.6
CUUR0400SA0,1995,M07,153.5
CUUR0400SA0,1995,M08,153.7
CUUR0400SA0,1995,M09,154.1
CUUR0400SA0,1995,M10,154.6
CUUR0400SA0,1995,M11,154.4
CUUR0400SA0,1995,M12,154.3
CUUR0400SA0,1995,M13,153.5
CUUS0400SA0,1995,S01,152.9
CUUS0400SA0,1995,S02,154.1
CUUR0400SA0,1996,M01,155.3
CUUR0400SA0,1996,M02,155.8
CUUR0400SA0,1996,M03,156.4
CUUR0400SA0,1996,M04,157.1
CUUR0400SA0,1996,M05,157.6
CUUR0400SA0,1996,M06,157.5
CUUR0400SA0,1996,M07,157.9
CUUR0400SA0,1996,M08,158.0
CUUR0400SA0,1996,M09,158.6
CUUR0400SA0,1996,M10,159.1
