Series Id,Year,Period,Value
CUUR0400SAD,1984,M02,102.2
CUUR0400SAD,1984,M04,104.0
CUUR0400SAD,1984,M06,105.2
CUUR0400SAD,1984,M08,104.8
CUUR0400SAD,1984,M10,105.6
CUUR0400SAD,1984,M12,105.5
CUUR0400SAD,1984,M13,104.4
CUUS0400SAD,1984,S01,103.6
CUUS0400SAD,1984,S02,105.3
CUUR0400SAD,1985,M02,106.2
CUUR0400SAD,1985,M04,106.8
CUUR0400SAD,1985,M06,105.9
CUUR0400SAD,1985,M08,105.2
CUUR0400SAD,1985,M10,105.4
CUUR0400SAD,1985,M12,105.6
CUUR0400SAD,1985,M13,105.8
CUUS0400SAD,1985,S01,106.2
CUUS0400SAD,1985,S02,105.4
CUUR0400SAD,1986,M02,105.5
CUUR0400SAD,1986,M04,104.9
CUUR0400SAD,1986,M06,105.4
CUUR0400SAD,1986,M08,105.1
CUUR0400SAD,1986,M10,105.9
CUUR0400SAD,1986,M12,105.4
CUUR0400SAD,1986,M13,105.4
CUUS0400SAD,1986,S01,105.3
CUUS0400SAD,1986,S02,105.5
CUUR0400SAD,1987,M01,106.2
CUUR0400SAD,1987,M02,105.6
CUUR0400SAD,1987,M03,106.0
CUUR0400SAD,1987,M04,106.4
CUUR0400SAD,1987,M05,106.6
CUUR0400SAD,1987,M06,106.7
CUUR0400SAD,1987,M07,107.5
CUUR0400SAD,1987,M08,107.6
CUUR0400SAD,1987,M09,107.5
CUUR0400SAD,1987,M10,108.0
CUUR0400SAD,1987,M11,108.8
CUUR0400SAD,1987,M12,108.6
CUUR0400SAD,1987,M13,107.1
CUUS0400SAD,1987,S01,106.3
CUUS0400SAD,1987,S02,108.0
CUUR0400SAD,1988,M01,108.3
CUUR0400SAD,1988,M02,108.2
CUUR0400SAD,1988,M03,108.8
CUUR0400SAD,1988,M04,108.7
CUUR0400SAD,1988,M05,109.1
CUUR0400SAD,1988,M06,109.4
CUUR0400SAD,1988,M07,109.2
CUUR0400SAD,1988,M08,108.5
CUUR0400SAD,1988,M09,109.4
CUUR0400SAD,1988,M10,110.0
CUUR0400SAD,1988,M11,110.9
CUUR0400SAD,1988,M12,111.1
CUUR0400SAD,1988,M13,109.3
CUUS0400SAD,1988,S01,108.8
CUUS0400SAD,1988,S02,109.9
CUUR0400SAD,1989,M01,111.4
CUUR0400SAD,1989,M02,110.9
CUUR0400SAD,1989,M03,110.4
CUUR0400SAD,1989,M04,110.5
CUUR0400SAD,1989,M05,110.9
CUUR0400SAD,1989,M06,111.2
CUUR0400SAD,1989,M07,111.6
CUUR0400SAD,1989,M08,110.8
CUUR0400SAD,1989,M09,110.2
CUUR0400SAD,1989,M10,111.2
CUUR0400SAD,1989,M11,112.5
CUUR0400SAD,1989,M12,112.7
CUUR0400SAD,1989,M13,111.2
CUUS0400SAD,1989,S01,110.9
CUUS0400SAD,1989,S02,111.5
CUUR0400SAD,1990,M01,113.3
CUUR0400SAD,1990,M02,113.4
CUUR0400SAD,1990,M03,113.3
CUUR0400SAD,1990,M04,113.2
CUUR0400SAD,1990,M05,112.9
CUUR0400SAD,1990,M06,112.5
CUUR0400SAD,1990,M07,113.0
CUUR0400SAD,1990,M08,112.7
CUUR0400SAD,1990,M09,112.8
CUUR0400SAD,1990,M10,113.4
CUUR0400SAD,1990,M11,113.0
CUUR0400SAD,1990,M12,113.5
CUUR0400SAD,1990,M13,113.1
CUUS0400SAD,1990,S01,113.1
CUUS0400SAD,1990,S02,113.1
CUUR0400SAD,1991,M01,114.3
CUUR0400SAD,1991,M02,114.5
CUUR0400SAD,1991,M03,114.5
CUUR0400SAD,1991,M04,115.0
CUUR0400SAD,1991,M05,115.1
CUUR0400SAD,1991,M06,115.4
CUUR0400SAD,1991,M07,116.2
CUUR0400SAD,1991,M08,116.1
CUUR0400SAD,1991,M09,115.7
CUUR0400SAD,1991,M10,115.6
CUUR0400SAD,1991,M11,116.0
CUUR0400SAD,1991,M12,115.6
CUUR0400SAD,1991,M13,115.3
CUUS0400SAD,1991,S01,114.8
CUUS0400SAD,1991,S02,115.9
CUUR0400SAD,1992,M01,116.4
CUUR0400SAD,1992,M02,116.9
CUUR0400SAD,1992,M03,117.5
CUUR0400SAD,1992,M04,118.3
CUUR0400SAD,1992,M05,117.3
CUUR0400SAD,1992,M06,117.7
CUUR0400SAD,1992,M07,118.1
CUUR0400SAD,1992,M08,117.9
CUUR0400SAD,1992,M09,117.7
CUUR0400SAD,1992,M10,118.4
CUUR0400SAD,1992,M11,119.1
CUUR0400SAD,1992,M12,119.2
CUUR0400SAD,1992,M13,117.9
CUUS0400SAD,1992,S01,117.4
CUUS0400SAD,1992,S02,118.4
CUUR0400SAD,1993,M01,119.1
CUUR0400SAD,1993,M02,119.4
CUUR0400SAD,1993,M03,119.5
CUUR0400SAD,1993,M04,120.2
CUUR0400SAD,1993,M05,120.3
CUUR0400SAD,1993,M06,120.2
CUUR0400SAD,1993,M07,121.1
CUUR0400SAD,1993,M08,120.9
CUUR0400SAD,1993,M09,120.6
CUUR0400SAD,1993,M10,121.1
CUUR0400SAD,1993,M11,121.5
CUUR0400SAD,1993,M12,122.0
CUUR0400SAD,1993,M13,120.5
CUUS0400SAD,1993,S01,119.8
CUUS0400SAD,1993,S02,121.2
CUUR0400SAD,1994,M01,122.3
CUUR0400SAD,1994,M02,122.2
CUUR0400SAD,1994,M03,122.3
CUUR0400SAD,1994,M04,122.5
CUUR0400SAD,1994,M05,123.4
CUUR0400SAD,1994,M06,123.8
CUUR0400SAD,1994,M07,124.3
CUUR0400SAD,1994,M08,124.2
CUUR0400SAD,1994,M09,123.6
CUUR0400SAD,1994,M10,124.1
CUUR0400SAD,1994,M11,125.0
CUUR0400SAD,1994,M12,125.5
